SS,Mã hàng,Link Form,"Số
vòng dây ",MSKH,TCCL,"Link
TCCL",Tên khách hàng,"Part
Number",Đối tượng gửi dữ liệu,Nguồn dữ liệu,Yêu cầu đặc biệt khi gửi dữ liệu,"Gửi Lot DAI DIEN: ""DD""
Gửi TOAN BO Lot: ""TB""","Gửi dữ
 liệu [M]","Nơi nhận
dữ liệu","Ngoài đối tượng

VD : 736 KH không cho giảm",Nội dung gửi mail,Địa chỉ gửi mail,DUNG LƯỢNG 1 LẦN GỬI
RF370CB70998D,70998D,XEM,10750,504894U,A75088,XEM,CEBI MI CROMOTORS SWITZERLAND S,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB70998G,70998G,XEM,10750,504894U,QS-10-000667,XEM,CEBI MICROMOTORS SWITZERLAND S,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB70999D,70999D,XEM,11630,504894U,A75090,XEM,MES S.A,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB70999E,70999E,XEM,11630,504894U,QS-10-000503,XEM,CEBI MICROMOTORS SWITZERLAND S,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB71002H,71002H,XEM,081100,109116,QS-10-004553,XEM,Công ty cổ phần TGK,-,MONTH,KJS,,TB,-,TGK,"AQL, gửi toàn lót"," Subject: TGK Motor Outgoing Inspection Record (January'2025 ) 
To： TGK customer
Cc : VDM  Mr Vu
Fr： VDM Inspection Section Ly (Ms)

Regarding to TGK Motor Outgoing Inspection Record which being manufactured on January'2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.",makita13085@tgk-jp.com'; 'karino20019@tgk-jp.com'; 'ohtsuka91009@tgk-jp.com',8.0
RF370CB71006J,71006J,XEM,10800,109116,A86994,XEM,Công ty cổ phần TGK,-,MONTH,KJS,,TB,-,TGK,"AQL, gửi toàn lót"," Subject: TGK Motor Outgoing Inspection Record (January'2025 ) 
To： TGK customer
Cc : VDM  Mr Vu
Fr： VDM Inspection Section Ly (Ms)

Regarding to TGK Motor Outgoing Inspection Record which being manufactured on January'2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.",makita13085@tgk-jp.com'; 'karino20019@tgk-jp.com'; 'ohtsuka91009@tgk-jp.com',8.0
RF370CB71008H,71008H,XEM,12560,109116,A84579,XEM,CÔNG TY TNHH TGK ,-,MONTH,KJS,,TB,-,TGK,"CP, AQL, gửi toàn lót"," Subject: TGK Motor Outgoing Inspection Record (January'2025 ) 
To： TGK customer
Cc : VDM  Mr Vu
Fr： VDM Inspection Section Ly (Ms)

Regarding to TGK Motor Outgoing Inspection Record which being manufactured on January'2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.",makita13085@tgk-jp.com'; 'karino20019@tgk-jp.com'; 'ohtsuka91009@tgk-jp.com',8.0
RF370CB71008J,71008J,XEM,12560,109116,QS-10-004499,XEM,Công ty cổ phần TGK,-,MONTH,KJS,,TB,-,TGK,"CP, AQL, gửi toàn lót"," Subject: TGK Motor Outgoing Inspection Record (January'2025 ) 
To： TGK customer
Cc : VDM  Mr Vu
Fr： VDM Inspection Section Ly (Ms)

Regarding to TGK Motor Outgoing Inspection Record which being manufactured on January'2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.",makita13085@tgk-jp.com'; 'karino20019@tgk-jp.com'; 'ohtsuka91009@tgk-jp.com',8.0
RF370CB71008J,71008J,XEM,,109116D,A91715,XEM,CÔNG TY CỔ PHẦN TGK ,-,,,,-,-,-,AQL,,,
RF370CB71010H,71010H,XEM,11670,109116,A84589,XEM,Công ty cổ phần TGK,-,MONTH,KJS,,TB,-,TGK,"AQL, gửi toàn lót"," Subject: TGK Motor Outgoing Inspection Record (January'2025 ) 
To： TGK customer
Cc : VDM  Mr Vu
Fr： VDM Inspection Section Ly (Ms)

Regarding to TGK Motor Outgoing Inspection Record which being manufactured on January'2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.",makita13085@tgk-jp.com'; 'karino20019@tgk-jp.com'; 'ohtsuka91009@tgk-jp.com',8.0
RF370CB71010J,71010J,XEM,11670,109116,A86996,XEM,Công ty cổ phần TGK,-,MONTH,KJS,,TB,-,TGK,"AQL, gửi toàn lót"," Subject: TGK Motor Outgoing Inspection Record (January'2025 ) 
To： TGK customer
Cc : VDM  Mr Vu
Fr： VDM Inspection Section Ly (Ms)

Regarding to TGK Motor Outgoing Inspection Record which being manufactured on January'2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.",makita13085@tgk-jp.com'; 'karino20019@tgk-jp.com'; 'ohtsuka91009@tgk-jp.com',8.0
RF370CB71010J,71010J,XEM,,109116D,A91790,XEM,CÔNG TY CỔ PHẦN TGK ,-,,,,-,-,-,,,,
RF370CB71011J,71011J,XEM,11670,109116,A84564,XEM,CÔNG TY TNHH TGK ,-,MONTH,KJS,,TB,-,TGK,"CP, AQL, gửi toàn lót"," Subject: TGK Motor Outgoing Inspection Record (January'2025 ) 
To： TGK customer
Cc : VDM  Mr Vu
Fr： VDM Inspection Section Ly (Ms)

Regarding to TGK Motor Outgoing Inspection Record which being manufactured on January'2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.",makita13085@tgk-jp.com'; 'karino20019@tgk-jp.com'; 'ohtsuka91009@tgk-jp.com',8.0
RF370CB71014A,71014A,XEM,09800,882027K,A64943,XEM,WOORY INDUSTRIAL COMPANY LTD.,-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB71014A,71014A,XEM,,941013,A76547,XEM,WOORY AUTOMOTIVE INDIA PVT. LTD.,-,,,,-,-,-,,,,
RF370CB71014C,71014C,XEM,09800,941013,A82322,XEM,WOORY AUTOMOTIVES INDIA PVTLTD,-,,,,-,-,-,,,,
RF370CB71016E,71016E,XEM,081000,504894U,A75092,XEM,MES S.A,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB71016F,71016F,XEM,081000,504894U,QS-10-000515,XEM,CEBI  MICROMOTORS SWITZERLAND  S,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB71122H,71122H,XEM,11670,109116,QS-10-004505,XEM,Công ty TNHH TGK,-,MONTH,KJS,,TB,-,TGK,"AQL, gửi toàn lót"," Subject: TGK Motor Outgoing Inspection Record (January'2025 ) 
To： TGK customer
Cc : VDM  Mr Vu
Fr： VDM Inspection Section Ly (Ms)

Regarding to TGK Motor Outgoing Inspection Record which being manufactured on January'2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.",makita13085@tgk-jp.com'; 'karino20019@tgk-jp.com'; 'ohtsuka91009@tgk-jp.com',8.0
RF370CB72247B,72247B,XEM,09800,882027K,A70393,XEM,WOORY INDUSTRIAL COMPANY LTD.,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB72251E,72251E,XEM,11670,882027K,A80733,XEM,WOORY INDUSTRIAL COMPANY LTD.,-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB72251E,72251E,XEM,,950337Q,A87795,XEM,WOORY INDUSTRIAL (THAILAND) CO,-,,,,-,-,-,,,,
RF370CB72295B,72295B,XEM,11670,882084K,A90571,XEM,"ADD TEC CO., LTD.",-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB72675F,72675F,XEM,10540,871129,A77859,XEM,PT.ASMO INDONESIA,-,,,,-,-,-,,,,
RF370CB72877D,72877D,XEM,11630,507160U,A75091,XEM,CEBI POLAND,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB73076D,73076D,XEM,10750,507160U,A75089,XEM,CEBI POLAND,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB73076D,73076D,XEM,,300665N,A75844,XEM,CEBI INDUSTRIAS MEXICO S.A. DE,-,,,,-,-,-,,,,
RF370CB73076E,73076E,XEM,10750,504894U,QS-10-000505,XEM,CEBI MICROMOTORS SWITZERLAND S,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB73076E,73076E,XEM,,507160U,QS-10-000602,XEM,CEBI POLAND,-,MONTH,KJS,List excel,TB,-,CEBI,Gửi toàn lót,"Subject: MES CEBI  Motor Outgoing Inspection Record (January '2025 ) 
To：M ES-CEBI Ms. Maria Masci
UPO Ms. Zhou Ying ; Mr. Dietl Alexander
Cc :VDM Mr Vu
Fr：VDM Inspection Section Ly (Ms)

Regarding to MES CEBI Motor Outgoing Inspection Record which being manufactured on January '2025 in VDM, please refer to attached file.
If you have any question, please feel free to contact to me.","maria.masci@cebi.com'; UPO/DIETL ALEXANDER(ディートルアレクサンダー) <a.dietl.wzd@mabuchi-motor.com>; 
UPO/ZHOU YING <y.zhouy.swr@mabuchi-motor.com>",8.0
RF370CB73076E,73076E,XEM,,300665N,QS-10-006505,XEM,CEBI INDUSTRIAS MEXICO S.A. DE,-,,,,-,-,-,,,,
RF370CB73083C,73083C,XEM,10750,871129,A73515,XEM,PT.ASMO INDONESIA,-,,,,-,-,-,,,,
RF370CB73083D,73083D,XEM,10750,871129,QS-10-010572,XEM,PT.DENSO MANUFACTURING INDONESIA,-,,,,-,-,-,,,,
RF370CB73083D,73083D,XEM,,952820Q,QS-10-005552,XEM,PT.DENSO MANUFACTURING INDONESIA,-,,,,-,-,-,,,,
RF370CB73276D,73276D,XEM,081100,882027K,A77744,XEM,WOORY INDUSTRIAL COMPANY LTD.,-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB73276E,73276E,XEM,081100,941013,A80436,XEM,WOORY AUTOMOTIVES INDIA PVTLTD,-,,,,-,-,-,,,,
RF370CB73276F,73276F,XEM,081100,882027K,A90800,XEM,WOORY INDUSTRIAL COMPANY LTD.,-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB73276F,73276F,XEM,,941013,QS-10-005476,XEM,WOORY AUTOMOTIVES INDIA PVTLTD,-,MONTH,MAP,,DD,-,SPO,," Subject:  Motor outgoing inspection record on June -2024  ( Sumitronics Thailand )
To: SPO / Ms. Reiko Chin, Tang Chin Tien San
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on June -2024.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.",SPO/REIKO CHIN <c.reiko.dqk@mabuchi-motor.com>; SPO/TANG CHIN TIEN <c.tangc.mcb@mabuchi-motor.com>,8.0
RF370CB73276F,73276F,XEM,,953893Q,QS-10-005616,XEM,WOORY AUTOMOTIVES INDIA PVT. LTD.,-,,,,-,-,-,,,,
RF370CB73283D,73283D,XEM,11670,882027K,A80726,XEM,WOORY INDUSTRIAL COMPANY LTD.,-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB73283E,73283E,XEM,,882027K,A88837,XEM,WOORY INDUSTRIAL COMPANY LTD.,-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB73658A,73658A,XEM,11670,505180U,A74425,XEM,PATTERER GMBH,-,,,,-,-,-,,,,
RF370CB73980A,73980A,XEM,081100,883900K,A76517,XEM,DONGHWAN IND.CORP,-,MONTH,MAP,,DD,-,KRO,CP,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB73980B,73980B,XEM,,882084K,A90523,XEM,"ADD TEC CO., LTD.",-,MONTH,MAP,,DD,-,KRO,CP,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB73980B,73980B,XEM,,883900K,QS-10-000913,XEM,DONGHWAN IND.CORP.,-,,,,-,-,-,,,,
RF370CB73980C,73980C,XEM,081100,882084K,A90737,XEM,"ADD TEC CO., LTD.",-,MONTH,MAP,,DD,-,KRO,CP,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB74000B,74000B,XEM,10750,204198N,QS-10-010583,XEM,DENSO MANUFACTURING NC,-,,,,-,-,-,,,,
RF370CB74000C,74000C,XEM,10750,191460,QS-10-001342,XEM,Công ty cổ phần Denso,-,,,,-,-,-,AQL,,,
RF370CB74000E,74000E,XEM,,191460,QS-10-005633,XEM,Công ty cổ phẩn Denso,-,,,,-,-,-,,,,
RF370CB74001B,74001B,XEM,071020,204198N,QS-10-010599,XEM,DENSO MANUFACTURING NC,-,,,,-,-,-,,,,
RF370CB74001C,74001C,XEM,071020,191460,QS-10-001338,XEM,Công ty cổ phần Denso,-,,,,-,-,-,AQL,,,
RF370CB74001E,74001E,XEM,,191460,QS-10-005637,XEM,Công ty cổ phần Denso,-,,,,-,-,-,,,,
RF370CB74058A,74058A,XEM,11670,883900K,A76964,XEM,DONGHWAN IND.CORP,-,MONTH,MAP,,DD,-,KRO,CP,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB74058B,74058B,XEM,11670,883900K,QS-10-001046,XEM,DONGHWAN IND.CORP.,-,MONTH,MAP,,DD,-,KRO,CP,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB74295A,74295A,XEM,09800,882027K,A78434,XEM,WOORY INDUSTRIAL COMPANY LTD,-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB74295A,74295A,XEM,,950337Q,A87511,XEM,WOORY INDUSTRIAL (THAILAND) CO,-,,,,-,-,-,,,,
RF370CB74295C,74295C,XEM,09800,950337Q,A90853,XEM,WOORY INDUSTRIAL (THAILAND) CO,-,,,,-,-,-,,,,
RF370CB74520B,74520B,XEM,10800,143891,A81198,XEM,TONEX (cổ phần),-,,,,-,-,-,,,,
RF370CB74557A,74557A,XEM,12560,200097N,A80241,XEM,ROBERTSHAW CONTROL COMPANY,-,,,,-,-,-,,,,
RF370CB74557B,74557B,XEM,12560,200097N,A80849,XEM,ROBERTSHAW CONTROL COMPANY,-,,,,-,-,-,,,,
RF370CB74624A,74624A,XEM,11670,882027K,A80728,XEM,WOORY INDUSTRIAL COMPANY LTD,-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB74624A,74624A,XEM,,950337Q,QS-10-000188,XEM,WOORY INDUSTRIAL (THAILAND) CO,-,,,,-,-,-,,,,
RF370CB74624B,74624B,XEM,11670,882027K,QS-10-009492,XEM,WOORY INDUSTRIAL COMPANY LTD.,-,MONTH,MAP,,DD,-,KRO,,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
RF370CB74624B,74624B,XEM,,950337Q,QS-10-000231,XEM,WOORY INDUSTRIAL (THAILAND) CO,-,,,,-,-,-,,,,
RF370CB74624B,74624B,XEM,,941013,QS-10-000302,XEM,WOORY AUTOMOTIVES INDIA PVTLTD,-,MONTH,MAP,,DD,-,SPO,," Subject:  Motor outgoing inspection record on June -2024  ( Sumitronics Thailand )
To: SPO / Ms. Reiko Chin, Tang Chin Tien San
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on June -2024.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.",SPO/REIKO CHIN <c.reiko.dqk@mabuchi-motor.com>; SPO/TANG CHIN TIEN <c.tangc.mcb@mabuchi-motor.com>,8.0
RF370CB74624B,74624B,XEM,,953893Q,QS-10-005617,XEM,WOORY AUTOMOTIVES INDIA PVTLTD,-,,,,-,-,-,,,,
RF370CB74650A,74650A,XEM,11670,200097N,A80848,XEM,ROBERTSHAW CONTROL COMPANY,-,,,,-,-,-,CP,,,
RF370CB74650A,74650A,XEM,11670,901165,QS-10-000153,XEM,Khách hàng thông thường buôn bán dài hạn,-,,,,-,-,-,,,,
RF370CB74650A,74650A,XEM,,204685N,QS-10-003745,XEM,PELCO COMPONENT TECHNOLOGIES,-,,,,-,-,-,,,,
RF370CB74658B,74658B,XEM,15370,502401U,A83720,XEM,SBS FEINTECHIK,-,,,,-,-,-,,,,
RF370CB74929A,74929A,XEM,11670,882027K,A82692,XEM,WOORY INDUSTRIAL COMPANY LTD,-,MONTH,MAP,,DD,-,KRO,CP,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
